"","Temp","Measures","Residential","Retail","Work","Vac"
"Andalucía",0.566,-0.46,0.493,-0.052,-0.509,NA
"Aragón",0.177,-0.575,0.449,0.103,-0.409,NA
"Canarias",0.018,-0.032,0.205,0.058,-0.201,NA
"Cantabria",0.325,-0.274,0.418,0.059,-0.337,NA
"Castilla y León",0.594,-0.421,0.738,0.127,-0.74,NA
"Castilla-La Mancha",0.452,-0.229,0.601,-0.055,-0.498,NA
"Cataluña",0.179,-0.611,0.558,0.168,-0.472,NA
"Comunidad de Madrid",0.448,-0.057,0.186,0.073,-0.471,NA
"Comunidad Foral de Navarra",0.317,-0.53,0.523,-0.034,-0.434,NA
"Comunitat Valenciana",0.312,-0.405,0.314,0.072,-0.4,NA
"Extremadura",0.233,-0.148,0.314,-0.058,-0.232,NA
"Galicia",0.3,-0.333,0.366,-0.086,-0.316,NA
"Illes Balears",0.138,-0.093,0.19,0.122,-0.267,NA
"La Rioja",0.4,-0.385,0.472,-0.003,-0.438,NA
"País Vasco",0.413,-0.429,0.447,-0.002,-0.457,NA
"Principado de Asturias",0.538,-0.583,0.565,0.244,-0.545,NA
"Región de Murcia",0.509,-0.456,0.486,-0.06,-0.504,NA
